Project Name,Package Name,Type Name,Code Smell
java-client,io.appium.java_client.android.options.adb,SupportsAdbPortOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.adb,SupportsAllowDelayAdbOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.adb,SupportsBuildToolsVersionOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.adb,SupportsClearDeviceLogsOnStartOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.adb,SupportsIgnoreHiddenApiPolicyErrorOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.adb,SupportsLogcatFilterSpecsOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.adb,SupportsLogcatFormatOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.adb,SupportsMockLocationAppOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.adb,SupportsRemoteAdbHostOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.adb,SupportsSkipLogcatCaptureOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.adb,SupportsSuppressKillServerOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,IntentOptions,Insufficient Modularization
java-client,io.appium.java_client.android.options.app,SupportsActivityOptionsOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,SupportsAllowTestPackagesOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,SupportsAndroidInstallTimeoutOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,SupportsAppActivityOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,SupportsAppPackageOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,SupportsAppWaitActivityOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,SupportsAppWaitDurationOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,SupportsAppWaitForLaunchOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,SupportsAppWaitPackageOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,SupportsAutoGrantPermissionsOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,SupportsIntentActionOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,SupportsIntentCategoryOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,SupportsIntentFlagsOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,SupportsIntentOptionsOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,SupportsOptionalIntentArgumentsOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,SupportsRemoteAppsCacheLimitOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.app,SupportsUninstallOtherPackagesOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.avd,SupportsAvdArgsOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.avd,SupportsAvdEnvOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.avd,SupportsAvdLaunchTimeoutOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.avd,SupportsAvdOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.avd,SupportsAvdReadyTimeoutOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.avd,SupportsGpsEnabledOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.avd,SupportsNetworkSpeedOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.context,SupportsAutoWebviewTimeoutOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.context,SupportsChromedriverArgsOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.context,SupportsChromedriverChromeMappingFileOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.context,SupportsChromedriverDisableBuildCheckOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.context,SupportsChromedriverExecutableDirOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.context,SupportsChromedriverPortOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.context,SupportsChromedriverPortsOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.context,SupportsChromedriverUseSystemExecutableOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.context,SupportsChromeLoggingPrefsOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.context,SupportsChromeOptionsOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.context,SupportsEnsureWebviewsHavePagesOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.context,SupportsExtractChromeAndroidPackageFromContextNameOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.context,SupportsNativeWebScreenshotOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.context,SupportsRecreateChromeDriverSessionsOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.context,SupportsShowChromedriverLogOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.context,SupportsWebviewDevtoolsPortOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.localization,SupportsAppLocaleOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.localization,SupportsLocaleScriptOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.locking,SupportsSkipUnlockOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.locking,SupportsUnlockKeyOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.locking,SupportsUnlockStrategyOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.locking,SupportsUnlockSuccessTimeoutOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.locking,SupportsUnlockTypeOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.mjpeg,SupportsMjpegScreenshotUrlOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.mjpeg,SupportsMjpegServerPortOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.other,SupportsDisableSuppressAccessibilityServiceOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.other,SupportsUserProfileOption,Unutilized Abstraction
java-client,io.appium.java_client.android.options.server,EspressoBuildConfig,Deficient Encapsulation
java-client,io.appium.java_client.android.options.server,EspressoBuildConfig,Insufficient Modularization
java-client,io.appium.java_client.android.options.server,SupportsDisableWindowAnimationOption,Unutilized Abstraction
